 Alternative                   , Attribute           , Parameter                                                        ,   Value ,   St-Err ,   P-value ,   T-value 
 3-layers/2-sided scrub sponge , Price               ,                                                                  ,-0.091,0.026,0.001,-3.47
 3-layers/2-sided scrub sponge , Color               , Beige/Brown                                                      ,-0.065,0.075,0.388,-0.86
 3-layers/2-sided scrub sponge , Color               , Black                                                            ,0,0,1,0
 3-layers/2-sided scrub sponge , Color               , Blue                                                             ,-0.25,0.102,0.014,-2.45
 3-layers/2-sided scrub sponge , Color               , Dark Green                                                       ,-0.157,0.081,0.052,-1.94
 3-layers/2-sided scrub sponge , Color               , Green                                                            ,0,0,1,0
 3-layers/2-sided scrub sponge , Color               , Orange                                                           ,0,0,1,0
 3-layers/2-sided scrub sponge , Color               , Pink                                                             ,0.128,0.084,0.126,1.53
 3-layers/2-sided scrub sponge , Color               , Purple                                                           ,-0.177,0.087,0.042,-2.03
 3-layers/2-sided scrub sponge , Color               , White                                                            ,-0.103,0.086,0.227,-1.21
 3-layers/2-sided scrub sponge , Color               , Yellow                                                           ,-0.117,0.076,0.123,-1.54
 3-layers/2-sided scrub sponge , Shape               , Flower                                                           ,0.254,0.104,0.014,2.45
 3-layers/2-sided scrub sponge , Shape               , Leaf                                                             ,0.078,0.081,0.334,0.97
 3-layers/2-sided scrub sponge , Shape               , Oval                                                             ,0.033,0.091,0.714,0.37
 3-layers/2-sided scrub sponge , Shape               , Rectangle                                                        ,0.21,0.089,0.018,2.36
 3-layers/2-sided scrub sponge , Shape               , Round                                                            ,0.084,0.09,0.354,0.93
 3-layers/2-sided scrub sponge , Shape               , Smiley                                                           ,0.198,0.118,0.092,1.68
 3-layers/2-sided scrub sponge , Shape               , Square                                                           ,0.138,0.095,0.147,1.45
 3-layers/2-sided scrub sponge , Shape               , Tear drop                                                        ,0,0,1,0
 3-layers/2-sided scrub sponge , Shape               , Wave                                                             ,0,0,1,0
 Acrylic scourer               , Brand               , Byulpyo                                                          ,0,0,1,0
 Acrylic scourer               , Brand               , Cleanwrap                                                        ,0.118,0.076,0.12,1.56
 Acrylic scourer               , Brand               , Daiso                                                            ,0.176,0.078,0.024,2.25
 Acrylic scourer               , Brand               , Frog                                                             ,0.039,0.075,0.6,0.52
 Acrylic scourer               , Brand               , No Brand                                                         ,0.099,0.077,0.201,1.28
 Acrylic scourer               , Brand               , Scotch-Brite by 3M                                               ,0.225,0.083,0.007,2.71
 Acrylic scourer               , Brand               , Scott (Yuhan-Kimberly                                            ,0.125,0.073,0.088,1.71
 Acrylic scourer               , Brand               , Spontex                                                          ,0.047,0.082,0.568,0.57
 Acrylic scourer               , Cleaning strength   , Extra tough/ extra heavy duty                                    ,0,0,1,0
 Acrylic scourer               , Cleaning strength   , Gentle/ delicate cleaning                                        ,-0.055,0.052,0.285,-1.07
 Acrylic scourer               , Cleaning strength   , Tough Cleaning/ Heavy duty                                       ,-0.053,0.048,0.268,-1.11
 Acrylic scourer               , Surface types       , Cast Iron (Cookware/Grills/etc                                   ,0.118,0.071,0.096,1.67
 Acrylic scourer               , Surface types       , Everyday dishware & utensils                                     ,0,0,1,0
 Acrylic scourer               , Surface types       , Glass (Cooktop                                                   ,0,0,1,0
 Acrylic scourer               , Surface types       ," Non-Stick/Ceramic (Cookware, Dishware, etc                       ",0.077,0.068,0.258,1.13
